mmsi,navigationalstatus,sog,cog,heading,shiptype,width,length,draught
566579000,Under way using engine,13.0,166.1,165.0,Tanker,28.0,184.0,7.0
219592000,Under way using engine,16.3,162.2,160.0,Passenger,26.0,169.0,6.3
209488000,Under way using engine,12.4,181.5,180.0,Cargo,13.0,89.0,3.8
266476000,Under way using engine,12.2,346.0,349.0,Tanker,17.0,119.0,6.2
355194000,Under way using engine,20.1,27.5,29.0,Cargo,32.0,237.0,9.7
266466000,Under way using engine,11.8,222.0,221.0,Tanker,21.0,129.0,7.9
355194000,Under way using engine,20.3,29.1,30.0,Cargo,32.0,237.0,9.7
257048880,Under way using engine,8.7,313.2,318.0,Cargo,13.0,111.0,5.7
219592000,Under way using engine,16.3,166.4,163.0,Passenger,26.0,169.0,6.3
266466000,Under way using engine,11.9,219.0,218.0,Tanker,21.0,129.0,7.9
305662000,Under way using engine,9.1,324.4,324.0,Cargo,14.0,90.0,6.1
566579000,Under way using engine,10.6,167.6,165.0,Tanker,28.0,184.0,7.0
209488000,Under way using engine,12.4,169.7,167.0,Cargo,13.0,89.0,3.8
219592000,Under way using engine,15.9,168.8,167.0,Passenger,26.0,169.0,6.3
566579000,Under way using engine,10.4,165.9,163.0,Tanker,28.0,184.0,7.0
257048880,Under way using engine,9.3,316.6,319.0,Cargo,13.0,111.0,5.7
355194000,Under way using engine,19.8,34.8,35.0,Cargo,32.0,237.0,9.7
355194000,Under way using engine,19.7,38.3,38.0,Cargo,32.0,237.0,9.7
305662000,Under way using engine,9.3,325.4,324.0,Cargo,14.0,90.0,6.1
209488000,Under way using engine,12.1,169.4,171.0,Cargo,13.0,89.0,3.8
266476000,Under way using engine,11.9,347.0,349.0,Tanker,17.0,119.0,6.2
266466000,Under way using engine,12.8,185.0,186.0,Tanker,21.0,129.0,7.9
257048880,Under way using engine,9.6,339.5,344.0,Cargo,13.0,111.0,5.7
355194000,Under way using engine,19.4,32.6,32.0,Cargo,32.0,237.0,9.7
244201000,Under way using engine,16.5,55.3,54.0,Cargo,23.0,151.0,6.6
219592000,Under way using engine,16.6,143.6,145.0,Passenger,26.0,169.0,6.3
219592000,Under way using engine,16.6,138.4,139.0,Passenger,26.0,169.0,6.3
355194000,Under way using engine,19.7,32.9,33.0,Cargo,32.0,237.0,9.7
265698740,Under way using engine,6.2,306.2,314.0,Passenger,12.0,50.0,3.0
244201000,Under way using engine,16.4,56.7,54.0,Cargo,23.0,151.0,6.6
244201000,Under way using engine,16.3,55.4,53.0,Cargo,23.0,151.0,6.6
305662000,Under way using engine,9.8,323.2,324.0,Cargo,14.0,90.0,6.1
209488000,Under way using engine,12.5,176.8,175.0,Cargo,13.0,89.0,3.8
355194000,Under way using engine,19.9,35.2,34.0,Cargo,32.0,237.0,9.7
266476000,Under way using engine,12.2,337.0,340.0,Tanker,17.0,119.0,6.2
305662000,Under way using engine,9.9,322.2,324.0,Cargo,14.0,90.0,6.1
219592000,Under way using engine,16.6,127.0,126.0,Passenger,26.0,169.0,6.3
257048880,Under way using engine,9.8,346.9,350.0,Cargo,13.0,111.0,5.7
266466000,Under way using engine,12.6,180.0,179.0,Tanker,21.0,129.0,7.9
355194000,Under way using engine,20.2,34.5,32.0,Cargo,32.0,237.0,9.7
566579000,Under way using engine,8.2,128.2,134.0,Tanker,28.0,184.0,7.0
566579000,Under way using engine,8.1,128.4,135.0,Tanker,28.0,184.0,7.0
355194000,Under way using engine,20.3,34.2,32.0,Cargo,32.0,237.0,9.7
219592000,Under way using engine,17.0,143.2,143.0,Passenger,26.0,169.0,6.3
219592000,Under way using engine,17.0,158.2,159.0,Passenger,26.0,169.0,6.3
266476000,Under way using engine,12.4,338.0,341.0,Tanker,17.0,119.0,6.2
209488000,Under way using engine,12.5,168.2,167.0,Cargo,13.0,89.0,3.8
355194000,Under way using engine,20.1,33.0,33.0,Cargo,32.0,237.0,9.7
266476000,Under way using engine,12.4,339.0,341.0,Tanker,17.0,119.0,6.2
355194000,Under way using engine,20.0,32.6,33.0,Cargo,32.0,237.0,9.7
266466000,Under way using engine,12.7,159.0,160.0,Tanker,21.0,129.0,7.9
219592000,Under way using engine,16.5,197.9,197.0,Passenger,26.0,169.0,6.3
566579000,Under way using engine,13.2,128.2,130.0,Tanker,28.0,184.0,7.0
266466000,Under way using engine,12.8,160.0,160.0,Tanker,21.0,129.0,7.9
257048880,Under way using engine,9.1,348.0,351.0,Cargo,13.0,111.0,5.7
355194000,Under way using engine,19.3,342.1,340.0,Cargo,32.0,237.0,9.7
209488000,Under way using engine,11.7,194.0,189.0,Cargo,13.0,89.0,3.8
257048880,Under way using engine,9.2,348.8,352.0,Cargo,13.0,111.0,5.7
566579000,Under way using engine,13.2,159.5,163.0,Tanker,28.0,184.0,7.0
219000781,Under way using engine,9.7,348.5,349.0,Passenger,,,2.8
566579000,Under way using engine,13.4,160.4,165.0,Tanker,28.0,184.0,7.0
266476000,Under way using engine,12.6,337.0,341.0,Tanker,17.0,119.0,6.2
219592000,Under way using engine,15.3,161.1,162.0,Passenger,26.0,169.0,6.3
266476000,Under way using engine,12.7,337.0,341.0,Tanker,17.0,119.0,6.2
266466000,Under way using engine,13.0,146.0,147.0,Tanker,21.0,129.0,7.9
355194000,Under way using engine,19.7,341.1,340.0,Cargo,32.0,237.0,9.7
355194000,Under way using engine,19.9,341.2,340.0,Cargo,32.0,237.0,9.7
266466000,Under way using engine,13.0,145.0,146.0,Tanker,21.0,129.0,7.9
219000781,Under way using engine,10.5,265.6,266.0,Passenger,,,2.8
257048880,Under way using engine,9.3,356.6,357.0,Cargo,13.0,111.0,5.7
209488000,Under way using engine,11.3,185.7,185.0,Cargo,13.0,89.0,3.8
219592000,Under way using engine,16.2,196.4,196.0,Passenger,26.0,169.0,6.3
