mmsi,navigationalstatus,sog,cog,heading,shiptype,width,length,draught,cog_sin,cog_cos,heading_sin,heading_cos,heading_cog_diff,prediction,is_anomaly,anomaly_score
215516000,Under way using engine,8.8,48.0,70.0,Tanker,13.0,93.0,5.4,0.7431448254773942,0.6691306063588582,0.9396926207859083,0.3420201433256688,22.0,-1,True,0.04826818121835863
257667000,Under way using engine,7.8,233.7,244.0,Tanker,23.0,144.0,6.5,-0.8059282822485159,-0.5920131787992194,-0.8987940462991668,-0.43837114678907774,10.300000000000011,-1,True,0.025306808375575418
215516000,Under way using engine,11.6,49.0,34.0,Tanker,13.0,93.0,5.4,0.754709580222772,0.6560590289905073,0.5591929034707469,0.8290375725550417,15.0,-1,True,0.004118316671108624
266476000,Under way using engine,7.4,93.0,93.0,Tanker,17.0,119.0,5.0,0.9986295347545738,-0.05233595624294384,0.9986295347545738,-0.05233595624294384,0.0,-1,True,0.01806171570323767
257667000,Under way using engine,11.2,248.9,265.0,Tanker,23.0,144.0,6.5,-0.9329535348254889,-0.3599968081200515,-0.9961946980917455,-0.08715574274765825,16.099999999999994,-1,True,0.04834725510567095
266476000,Under way using engine,14.2,90.0,94.0,Tanker,17.0,119.0,6.7,1.0,6.123233995736766e-17,0.9975640502598242,-0.06975647374412533,4.0,-1,True,0.008994743424657559
266476000,Under way using engine,14.1,91.0,99.0,Tanker,17.0,119.0,6.7,0.9998476951563913,-0.017452406437283477,0.9876883405951378,-0.1564344650402308,8.0,-1,True,0.03559508838605585
244784000,Under way using engine,8.3,301.5,293.0,Tanker,16.0,99.0,6.4,-0.8526401643540921,0.522498564715949,-0.9205048534524405,0.3907311284892735,8.5,-1,True,0.012549295432696339
538009153,Under way using engine,5.6,209.6,221.0,Tanker,44.0,250.0,8.8,-0.4939418665842307,-0.8694949295052191,-0.656059028990507,-0.7547095802227721,11.400000000000006,-1,True,0.008075403243026025
538009153,Under way using engine,4.5,228.3,249.0,Tanker,44.0,250.0,8.8,-0.7466381822853916,-0.6652303546543606,-0.9335804264972016,-0.3583679495453007,20.69999999999999,-1,True,0.07347078799028062
538009153,Under way using engine,2.5,224.0,240.0,Tanker,44.0,250.0,8.8,-0.6946583704589973,-0.7193398003386511,-0.8660254037844385,-0.5000000000000004,16.0,-1,True,0.06719276231371663
265012140,Under way using engine,4.3,225.0,215.0,Tanker,19.0,100.0,5.0,-0.7071067811865475,-0.7071067811865477,-0.5735764363510462,-0.8191520442889918,10.0,-1,True,0.017015404760390096
244784000,Under way using engine,4.8,292.4,297.0,Tanker,16.0,99.0,5.5,-0.9245460336123134,0.38107037635027363,-0.891006524188368,0.45399049973954664,4.600000000000023,-1,True,0.014254732876187948
244784000,Under way using engine,0.5,185.9,216.0,Tanker,16.0,99.0,5.5,-0.10279253678724694,-0.9947028171171742,-0.587785252292473,-0.8090169943749475,30.099999999999994,-1,True,0.06836045525904433
257667000,Under way using engine,12.4,84.3,79.0,Tanker,23.0,144.0,6.0,0.9950555699612262,0.0993197497436391,0.981627183447664,0.19080899537654492,5.299999999999997,-1,True,0.0034061523343399402
266465000,Under way using engine,12.0,257.8,265.0,Tanker,19.0,120.0,7.4,-0.9774158942860959,-0.2113247964553889,-0.9961946980917455,-0.08715574274765825,7.199999999999989,-1,True,0.004492301918632036
266465000,Under way using engine,14.5,84.6,81.0,Tanker,19.0,120.0,5.5,0.99556196460308,0.0941083133185145,0.9876883405951378,0.15643446504023092,3.5999999999999943,-1,True,0.00599059642150368
266465000,Under way using engine,13.9,102.2,97.0,Tanker,19.0,120.0,5.5,0.9774158942860959,-0.21132479645538865,0.9925461516413221,-0.12186934340514737,5.200000000000003,-1,True,0.017043944482181494
265610040,Under way using engine,1.6,203.6,189.0,Tanker,13.0,80.0,4.2,-0.40034903255689497,-0.9163627295622396,-0.15643446504023073,-0.9876883405951378,14.599999999999994,-1,True,0.03991361876244659
219011922,Under way using engine,4.5,106.8,108.0,Tanker,13.0,83.0,5.7,0.9573194975320672,-0.2890317969444715,0.9510565162951536,-0.30901699437494734,1.2000000000000028,-1,True,0.02276070212074177
265012140,Under way using engine,5.4,302.3,278.0,Tanker,19.0,100.0,6.0,-0.845261833221856,0.5343523493898266,-0.9902680687415704,0.13917310096006547,24.30000000000001,-1,True,0.08244395618343159
265012140,Moored,0.0,311.8,28.0,Tanker,19.0,100.0,4.5,-0.7454759996828624,0.6665324702494523,0.4694715627858908,0.882947592858927,76.19999999999999,-1,True,0.11029203479418592
257667000,Moored,0.0,126.5,284.0,Tanker,23.0,144.0,6.4,0.8038568606172174,-0.5948227867513411,-0.9702957262759966,0.24192189559966742,157.5,-1,True,0.14370034691506528
266466000,Under way using engine,10.4,283.0,277.0,Tanker,21.0,129.0,5.5,-0.9743700647852352,0.22495105434386492,-0.992546151641322,0.12186934340514768,6.0,-1,True,0.003940204618325671
249652000,Under way using engine,6.8,49.3,56.0,Tanker,27.0,180.0,8.3,0.7581343361976522,0.6520984038303922,0.8290375725550417,0.5591929034707468,6.700000000000003,-1,True,0.003561328680279252
538004172,Under way using engine,3.9,114.0,118.0,Tanker,44.0,250.0,12.2,0.9135454576426009,-0.40673664307580026,0.8829475928589269,-0.4694715627858909,4.0,-1,True,0.022750739760737382
219775000,Under way using engine,6.0,7.5,352.0,Tanker,22.0,147.0,6.5,0.13052619222005157,0.9914448613738104,-0.13917310096006588,0.9902680687415703,15.5,-1,True,0.024604401791160524
219775000,Under way using engine,3.7,290.8,268.0,Tanker,22.0,147.0,6.5,-0.9348256763960143,0.3551069624081373,-0.9993908270190958,-0.03489949670250076,22.80000000000001,-1,True,0.09568682066618028
219775000,At anchor,0.3,350.5,276.0,Tanker,22.0,147.0,6.5,-0.16504760586067735,0.9862856015372314,-0.9945218953682734,0.10452846326765299,74.5,-1,True,0.12755353058094898
265012140,Under way using engine,1.6,197.2,230.0,Tanker,19.0,100.0,4.6,-0.29570805004404654,-0.9552783621223437,-0.7660444431189779,-0.6427876096865395,32.80000000000001,-1,True,0.0640956012625955
219775000,At anchor,0.4,132.4,217.0,Tanker,22.0,147.0,6.5,0.7384553406258838,-0.6743023875837234,-0.6018150231520484,-0.7986355100472928,84.6,-1,True,0.10192420645986633
266466000,Moored,0.0,284.0,300.0,Tanker,21.0,129.0,5.5,-0.9702957262759966,0.24192189559966742,-0.8660254037844386,0.5000000000000001,16.0,-1,True,0.08401577566536189
219011922,Under way using engine,6.6,107.0,110.0,Tanker,13.0,83.0,5.7,0.9563047559630355,-0.29237170472273666,0.9396926207859084,-0.3420201433256687,3.0,-1,True,0.0034660869618596823
266466000,Under way using engine,5.1,305.0,311.0,Tanker,21.0,129.0,8.2,-0.8191520442889918,0.573576436351046,-0.7547095802227722,0.656059028990507,6.0,-1,True,0.011567229390958889
266466000,Under way using engine,4.3,13.0,357.0,Tanker,21.0,129.0,5.4,0.224951054343865,0.9743700647852352,-0.05233595624294437,0.9986295347545738,16.0,-1,True,0.037130274609946
265610040,Under way using engine,6.5,300.4,289.0,Tanker,13.0,80.0,5.0,-0.8625136692072576,0.5060337641211635,-0.945518575599317,0.3255681544571563,11.399999999999977,-1,True,0.04716823073525822
219355000,Moored,0.1,350.0,262.0,Tanker,14.0,93.0,6.3,-0.1736481776669304,0.984807753012208,-0.9902680687415703,-0.13917310096006583,88.0,-1,True,0.13745713367874468
219011922,Under way using engine,6.7,235.2,243.0,Tanker,13.0,83.0,4.2,-0.8211492091337037,-0.5707135676844322,-0.8910065241883678,-0.4539904997395469,7.800000000000011,-1,True,0.01726209542090329
248439000,Under way using engine,9.2,248.5,241.0,Tanker,20.0,129.0,6.4,-0.9304175679820246,-0.3665012267242972,-0.8746197071393959,-0.48480962024633684,7.5,-1,True,0.0019362078955380557
248439000,Under way using engine,6.1,242.0,236.0,Tanker,20.0,129.0,6.4,-0.882947592858927,-0.46947156278589075,-0.8290375725550418,-0.5591929034707466,6.0,-1,True,0.012016403800775732
566579000,Under way using engine,6.3,136.0,150.0,Tanker,28.0,184.0,6.7,0.6946583704589971,-0.7193398003386513,0.49999999999999994,-0.8660254037844387,14.0,-1,True,0.0014903345847649963
566579000,Under way using engine,5.8,136.2,149.0,Tanker,28.0,184.0,6.7,0.6921431738704068,-0.7217602280983622,0.5150380749100544,-0.8571673007021122,12.800000000000011,-1,True,0.004155064955471799
538005799,Under way using engine,13.1,24.3,8.0,Tanker,17.0,100.0,5.0,0.4115143586051088,0.9114032766354453,0.13917310096006544,0.9902680687415704,16.3,-1,True,0.00502381332621471
219775000,Under way using engine,4.3,337.5,327.0,Tanker,22.0,147.0,6.5,-0.38268343236508956,0.9238795325112868,-0.544639035015027,0.838670567945424,10.5,-1,True,0.006338638872370628
219775000,Under way using engine,4.2,321.8,311.0,Tanker,22.0,147.0,6.5,-0.6184083953575539,0.7858568931754021,-0.7547095802227722,0.656059028990507,10.800000000000011,-1,True,0.030571253995829717
219775000,Under way using engine,4.2,325.0,312.0,Tanker,22.0,147.0,6.5,-0.5735764363510465,0.8191520442889916,-0.7431448254773946,0.6691306063588578,13.0,-1,True,0.04353592325040123
219775000,Under way using engine,4.9,325.2,314.0,Tanker,22.0,147.0,6.5,-0.5707135676844322,0.8211492091337037,-0.7193398003386511,0.6946583704589973,11.199999999999989,-1,True,0.018404052053631492
219775000,Under way using engine,4.9,328.3,314.0,Tanker,22.0,147.0,6.5,-0.5254716510722675,0.8508111094240515,-0.7193398003386511,0.6946583704589973,14.300000000000011,-1,True,0.03669612818047108
219775000,Under way using engine,4.0,328.1,313.0,Tanker,22.0,147.0,6.5,-0.5284383347223466,0.8489716876291419,-0.7313537016191703,0.6819983600624986,15.100000000000023,-1,True,0.043342857468622986
219775000,Under way using engine,3.8,326.0,313.0,Tanker,22.0,147.0,6.5,-0.5591929034707466,0.8290375725550418,-0.7313537016191703,0.6819983600624986,13.0,-1,True,0.041710914011945266
